2023-04-12 16:13:46 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-04-12 16:13:47 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v1.0-SNAPSHOT using Java 17.0.6 on 69828d9cf3b6 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-04-12 16:13:47 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-04-12 16:14:01 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5661a031-9c92-3b67-a98a-91252b007904
2023-04-12 16:14:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-04-12 16:14:03 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-04-12 16:14:03 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-04-12 16:14:03 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-04-12 16:14:04 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-12 16:14:04 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 15069 ms
2023-04-12 16:14:09 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-04-12 16:14:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-04-12 16:14:09 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-04-12 16:14:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-04-12 16:14:09 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-04-12 16:14:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-04-12 16:14:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@14d25b6e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@51c65a43, org.springframework.security.web.context.SecurityContextPersistenceFilter@515b9d4a, org.springframework.security.web.header.HeaderWriterFilter@1e3f0aea, org.springframework.security.web.csrf.CsrfFilter@902fdbe, org.springframework.security.web.authentication.logout.LogoutFilter@3a38f122, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@d3e3085, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@50085d9c, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@740dcae3, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@49cd946c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@32a4ecbe, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@196624bf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4e140497, org.springframework.security.web.session.SessionManagementFilter@69a024a0, org.springframework.security.web.access.ExceptionTranslationFilter@a85644c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5348d83c]
2023-04-12 16:14:48 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-04-12 16:14:48 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-04-12 16:14:48 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 90.671 seconds (JVM running for 125.609)
2023-04-12 16:15:09 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-12 16:15:09 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-12 16:15:09 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 53 ms
2023-04-12 16:16:02 [http-nio-8888-exec-10] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-9344571386077460942/config-client-kafka_streams.yml]' via location 'file:/tmp/config-repo-9344571386077460942/'
2023-04-12 16:16:02 [http-nio-8888-exec-10] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-9344571386077460942/config-client.yml]' via location 'file:/tmp/config-repo-9344571386077460942/'
2023-04-12 16:16:17 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-9344571386077460942/config-client-twitter_to_kafka.yml]' via location 'file:/tmp/config-repo-9344571386077460942/'
2023-04-12 16:16:17 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-9344571386077460942/config-client.yml]' via location 'file:/tmp/config-repo-9344571386077460942/'
2023-04-12 16:16:34 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-9344571386077460942/config-client-elastic_query.yml]' via location 'file:/tmp/config-repo-9344571386077460942/'
2023-04-12 16:16:34 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-9344571386077460942/config-client.yml]' via location 'file:/tmp/config-repo-9344571386077460942/'
2023-04-12 16:16:37 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-9344571386077460942/config-client-elastic_query_web.yml]' via location 'file:/tmp/config-repo-9344571386077460942/'
