2023-03-22 07:22:46 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-22 07:22:46 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v1.0-SNAPSHOT using Java 17.0.6 on da18741344bc with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-03-22 07:22:46 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-03-22 07:22:55 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5661a031-9c92-3b67-a98a-91252b007904
2023-03-22 07:22:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-03-22 07:22:58 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-03-22 07:22:58 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-03-22 07:22:58 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-03-22 07:22:58 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-22 07:22:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 11223 ms
2023-03-22 07:23:02 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-03-22 07:23:02 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-03-22 07:23:02 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-03-22 07:23:02 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-03-22 07:23:02 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-03-22 07:23:02 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-03-22 07:23:02 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@73ca34e7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4d98e41b, org.springframework.security.web.context.SecurityContextPersistenceFilter@3cc053, org.springframework.security.web.header.HeaderWriterFilter@365afe87, org.springframework.security.web.csrf.CsrfFilter@69a024a0, org.springframework.security.web.authentication.logout.LogoutFilter@52f6900a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@624b523, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@9b47400, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@5ed5b321, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@611e5819, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7fbd3e75, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1c628f6a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5696c927, org.springframework.security.web.session.SessionManagementFilter@21e45a6f, org.springframework.security.web.access.ExceptionTranslationFilter@160e99e0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@481b2f10]
2023-03-22 07:23:16 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-03-22 07:23:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-03-22 07:23:16 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 44.656 seconds (JVM running for 56.669)
2023-03-22 07:23:18 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-22 07:23:18 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-22 07:23:18 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 16 ms
2023-03-22 07:23:39 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17729476583518273344/config-client-elastic_query.yml]' via location 'file:/tmp/config-repo-17729476583518273344/'
2023-03-22 07:23:39 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17729476583518273344/config-client.yml]' via location 'file:/tmp/config-repo-17729476583518273344/'
2023-03-22 07:23:42 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17729476583518273344/config-client-elastic_query.yml]' via location 'file:/tmp/config-repo-17729476583518273344/'
2023-03-22 07:23:42 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17729476583518273344/config-client.yml]' via location 'file:/tmp/config-repo-17729476583518273344/'
