2023-03-20 10:07:20 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-20 10:07:23 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v1.0-SNAPSHOT using Java 17.0.6 on aa305bd01d6b with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-03-20 10:07:23 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-03-20 10:07:47 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5661a031-9c92-3b67-a98a-91252b007904
2023-03-20 10:07:51 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-03-20 10:07:51 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-03-20 10:07:51 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-03-20 10:07:51 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-03-20 10:07:52 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-20 10:07:52 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 24849 ms
2023-03-20 10:07:59 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-03-20 10:07:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-03-20 10:07:59 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-03-20 10:07:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-03-20 10:07:59 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-03-20 10:07:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-03-20 10:08:00 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4b87074a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@d3e3085, org.springframework.security.web.context.SecurityContextPersistenceFilter@7d42404e, org.springframework.security.web.header.HeaderWriterFilter@5fdfe8cf, org.springframework.security.web.csrf.CsrfFilter@2233cac0, org.springframework.security.web.authentication.logout.LogoutFilter@3bb9ca38, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@71664560, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@1e3f0aea, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@2ba42204, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2180e789, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@31723307, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@8054fe2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@285005b8, org.springframework.security.web.session.SessionManagementFilter@4e8b357d, org.springframework.security.web.access.ExceptionTranslationFilter@3f9b7fe1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3d2f3dcb]
2023-03-20 10:08:20 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-03-20 10:08:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-03-20 10:08:20 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 123.421 seconds (JVM running for 168.256)
2023-03-20 10:08:21 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-20 10:08:21 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-20 10:08:21 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 18 ms
2023-03-20 10:13:01 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-20 10:13:04 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v1.0-SNAPSHOT using Java 17.0.6 on de4db436b3b2 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-03-20 10:13:04 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-03-20 10:29:33 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-20 10:29:36 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v1.0-SNAPSHOT using Java 17.0.6 on b56fbb4e839c with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-03-20 10:29:36 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
