2023-04-09 21:18:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-04-09 21:18:54 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer using Java 17.0.6 on 192.168.0.198 with PID 12908 (/Users/luongvantrong/backend/microservice/java/microservices-demo/microservices-demo/config-server/target/classes started by luongvantrong in /Users/luongvantrong/backend/microservice/java/microservices-demo/microservices-demo)
2023-04-09 21:18:54 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-04-09 21:18:55 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5661a031-9c92-3b67-a98a-91252b007904
2023-04-09 21:18:55 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-04-09 21:18:55 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-04-09 21:18:55 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-04-09 21:18:55 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-04-09 21:18:55 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-09 21:18:55 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 914 ms
2023-04-09 21:18:55 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-04-09 21:18:55 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-04-09 21:18:55 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-04-09 21:18:55 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-04-09 21:18:55 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-04-09 21:18:55 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-04-09 21:18:55 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@477021ee, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2180e789, org.springframework.security.web.context.SecurityContextPersistenceFilter@4e8b357d, org.springframework.security.web.header.HeaderWriterFilter@21ea996f, org.springframework.security.web.csrf.CsrfFilter@459003a0, org.springframework.security.web.authentication.logout.LogoutFilter@63a9c661, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@30c19bff, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2a4f8009, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@5e9bbd9d, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5934ca1e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@ea7a4c3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6d6f6860, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4b87074a, org.springframework.security.web.session.SessionManagementFilter@2f79f192, org.springframework.security.web.access.ExceptionTranslationFilter@796d33eb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@108e9837]
2023-04-09 21:18:58 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-04-09 21:18:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-04-09 21:18:58 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 4.535 seconds (JVM running for 4.95)
2023-04-09 21:19:08 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-09 21:19:08 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-09 21:19:08 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-04-09 21:19:09 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/4z/qmvjh94n4cq6lr5bqr8l9yy00000gn/T/config-repo-17721842255304942171/config-client-elastic_query.yml]' via location 'file:/var/folders/4z/qmvjh94n4cq6lr5bqr8l9yy00000gn/T/config-repo-17721842255304942171/'
2023-04-09 21:19:09 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/4z/qmvjh94n4cq6lr5bqr8l9yy00000gn/T/config-repo-17721842255304942171/config-client.yml]' via location 'file:/var/folders/4z/qmvjh94n4cq6lr5bqr8l9yy00000gn/T/config-repo-17721842255304942171/'
